engine,clip,audio_s,proc_s,rtf,wer,cer,reference,hypothesis
groq,common_voice_pt_36466494.mp3,5.69,4.52,0.795,0.0000,0.0000,quem brinca com fogo acaba queimando,quem brinca com fogo acaba queimando
groq,common_voice_pt_36466559.mp3,5.40,4.27,0.790,0.0000,0.0000,ainda depois daquele primeiro 1000000 antes dos 30,ainda depois daquele primeiro 1000000 antes dos 30
groq,common_voice_pt_36466538.mp3,5.58,4.05,0.726,0.0000,0.0000,susan envolveu cada presente individualmente,susan envolveu cada presente individualmente
groq,common_voice_pt_36466496.mp3,6.84,4.19,0.613,0.0000,0.0000,postular em juízo é necessário ter interesse e legitimidade,postular em juízo é necessário ter interesse e legitimidade
groq,common_voice_pt_36466493.mp3,6.66,4.35,0.652,0.2000,0.0645,faltou com o decoro parlamentar,faltou com decoro parlamentar
groq,common_voice_pt_32062394.mp3,6.52,4.62,0.709,0.1250,0.0182,problema de matemática com frações potências e radiação,problemas de matemática com frações potências e radiação
groq,common_voice_pt_32062681.mp3,6.44,5.33,0.828,0.0000,0.0000,olho para os olhos e dentes para os dentes,olho para os olhos e dentes para os dentes
groq,common_voice_pt_32062357.mp3,5.11,4.95,0.968,0.0000,0.0000,é o rádio da avó,é o rádio da avó
groq,common_voice_pt_32062359.mp3,9.07,4.16,0.458,0.0000,0.0000,como tal acolhe projetos artísticos com alto nível de especialização e excelência artística,como tal acolhe projetos artísticos com alto nível de especialização e excelência artística
groq,common_voice_pt_32062361.mp3,4.86,3.98,0.818,0.0000,0.0000,estava num charco a apanhar moscas,estava num charco a apanhar moscas
groq,common_voice_pt_32062680.mp3,7.27,4.10,0.564,0.0000,0.0000,rita deuse pressa em dizêlo ao outro e sobre isso deliberaram,rita deuse pressa em dizêlo ao outro e sobre isso deliberaram
groq,common_voice_pt_32062417.mp3,6.70,4.34,0.648,0.0833,0.0172,está 1 pouco frio hoje então eu espero que você tenha gots,está 1 pouco frio hoje então eu espero que você tenha gotes
groq,common_voice_pt_32062401.mp3,5.22,4.06,0.777,0.2000,0.0769,você é meu salvador bernat,você é meu salvador bernard
groq,common_voice_pt_20023723.mp3,6.91,4.16,0.601,0.2000,0.0926,os projetos têm 1 temporalidade de médio e longo prazo,os projetos termos a temporalidade de médio e longo prazo
